address,port,country,city,speed,type,anonymity
1.0.0.158,80,Australia  Parafield Gardens,,320 ms,HTTP,No
1.0.0.250,80,Australia  Stirling,,300 ms,HTTP,No
1.0.0.185,80,Australia  Stirling,,300 ms,HTTP,No
1.0.0.84,80,Australia  Parafield Gardens,,380 ms,HTTP,No
1.0.0.11,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.221,80,Australia  Stirling,,320 ms,HTTP,No
46.238.32.237,10030,Bulgaria  Sofia,,460 ms,"HTTP, SOCKS4, SOCKS5",High
103.89.235.18,83,India  Mangalore,,4120 ms,HTTP,No
189.10.3.186,3128,Brazil  Porto Velho,,1400 ms,HTTP,No
51.68.207.81,80,United Kingdom,,480 ms,HTTPS,High
154.16.63.16,8080,United Kingdom  Enfield Town,,940 ms,HTTP,High
1.0.0.9,80,Australia  Parafield Gardens,,380 ms,HTTP,No
1.0.0.101,80,Australia  Stirling,,320 ms,HTTP,No
139.59.109.156,8080,Singapore  Singapore,,1460 ms,HTTP,High
1.0.0.245,80,Australia  Parafield Gardens,,360 ms,HTTP,No
1.0.0.242,80,Australia  Parafield Gardens,,320 ms,HTTP,No
1.0.0.157,80,Australia  Parafield Gardens,,240 ms,HTTP,No
1.1.1.2,80,Australia,,340 ms,HTTP,No
60.251.40.84,1080,Taiwan  Keelung,,1180 ms,HTTP,High
138.68.165.154,8080,United Kingdom  London,,640 ms,HTTP,High
1.0.0.0,80,Australia  Fountain Gate,,340 ms,HTTP,No
1.1.1.1,80,Australia  Research,,340 ms,HTTP,No
1.0.0.113,80,Australia  Stirling,,380 ms,HTTP,No
1.0.0.248,80,Australia  Stirling,,320 ms,HTTP,No
185.92.74.63,24000,United Kingdom,,5100 ms,"HTTP, SOCKS5",High
5.202.181.163,8080,Iran,,1820 ms,HTTP,High
181.168.206.106,38024,Argentina  San Isidro,,1880 ms,HTTP,High
93.122.182.46,20331,Romania,,520 ms,"HTTP, SOCKS4, SOCKS5",High
91.133.10.70,8080,Russian Federation  Moscow,,5100 ms,HTTP,No
89.134.183.73,8080,Hungary  Debrecen,,5100 ms,HTTP,No
194.181.82.190,35447,Poland  Warsaw,,4500 ms,HTTP,High
